# Lista ticker
# Formato: US;INDUSTRY;NAME;TICKER;CIK

TRUE;Metals Mining & Materials;Carpenter Technology;CRS;0000021321
TRUE;Metals Mining & Materials;Reliance Inc;RS;0000086347
TRUE;Metals Mining & Materials;Freeport McMoRan;FCX;0000831259
TRUE;Metals Mining & Materials;Nucor;NUE;0000073309
TRUE;Metals Mining & Materials;Steel Dynamics;STLD;0001022671

FALSE;Metals Mining & Materials;Voestalpine;VOE.VI;
FALSE;Metals Mining & Materials;Aperam;APAM.AS;
FALSE;Metals Mining & Materials;ArcelorMittal;MT;0001243429
FALSE;Metals Mining & Materials;Rio Tinto;RIO;0000863064
FALSE;Metals Mining & Materials;Vale;VALE;0000917851
FALSE;Metals Mining & Materials;BHP Group;BHP;0000811809
FALSE;Metals Mining & Materials;Glencore;GLEN.L;
FALSE;Metals Mining & Materials;Anglo American;AAL.L;
FALSE;Metals Mining & Materials;CMOC Group;603993.SS;
FALSE;Metals Mining & Materials;First Quantum Minerals;FM.TO;
FALSE;Metals Mining & Materials;Lundin Mining;LUN.TO;
FALSE;Metals Mining & Materials;Antofagasta;ANTO.L;
FALSE;Metals Mining & Materials;Sumitomo Metal Mining;5713.T;
